@RELATION triangle

@ATTRIBUTE X numeric
@ATTRIBUTE Y numeric

@DATA

0.722902,0.234571
0.49233,0.581539
0.857048,0.109199
0.283497,0.103452
0.638098,0.168255
0.424263,0.106268
0.574308,0.121815
0.518017,0.868425
0.459207,0.353009
0.732683,0.251429
0.613293,0.740813
0.833473,0.058592
0.622133,0.442377
0.489509,0.761401
0.890334,0.217181
0.33691,0.352045
0.341696,0.091329
0.556633,0.161839
0.260404,0.466358
0.26058,0.063875
0.378416,0.296659
0.25435,0.291758
0.534572,0.364227
0.444349,0.726751
0.060214,0.019082
0.28003,0.387949
0.735507,0.144559
0.77067,0.239126
0.477926,0.915806
0.302697,0.479202
0.133823,0.208914
0.525644,0.753128
0.636547,0.193574
0.307479,0.135456
0.422406,0.180259
0.253837,0.429113
0.252901,0.369473
0.604929,0.651762
0.27288,0.022828
0.357035,0.005973
0.239056,0.146164
0.280015,0.32018
0.749432,0.159538
0.167798,0.122341
0.331845,0.03703
0.683914,0.545108
0.399314,0.51598
0.257795,0.36353
0.291835,0.213204
0.386623,0.595191
0.366667,0.301684
0.515062,0.870381
0.133299,0.028722
0.604564,0.073034
0.330731,0.099344
0.739272,0.09346
0.389537,0.32686
0.544351,0.536232
0.430029,0.027055
0.131402,0.076411
0.511452,0.770753
0.367484,0.255919
0.524874,0.919756
0.650628,0.067633
0.690554,0.118434
0.469051,0.473578
0.329962,0.171099
0.789879,0.115462
0.833998,0.081055
0.790485,0.090827
0.062213,0.024634
0.734517,0.425907
0.531926,0.583727
0.532572,0.530452
0.344579,0.623969
0.439862,0.399193
0.520711,0.771617
0.279011,0.401558
0.567374,0.725439
0.320872,0.281098
0.408869,0.328899
0.552934,0.790254
0.897832,0.204322
0.882244,0.015424
0.971871,0.051857
0.100894,0.057131
0.959454,0.072769
0.29324,0.225736
0.614279,0.445178
0.546666,0.732722
0.596695,0.08842
0.563427,0.032006
0.206126,0.212973
0.386757,0.288102
0.156033,0.296524
0.349679,0.454585
0.55945,0.376719
0.856191,0.216776
0.453931,0.758615
0.521117,0.704309
0.617811,0.723245
0.459885,0.886962
0.584811,0.164139
0.833022,0.00602
0.094023,0.034057
0.299169,0.102249
0.299829,0.141383
0.691876,0.017487
0.451325,0.439795
0.779456,0.292767
0.713738,0.125212
0.26961,0.482152
0.633032,0.173851
0.197006,0.167451
0.439472,0.064023
0.7467,0.395236
0.244333,0.184036
0.284359,0.562255
0.626769,0.056576
0.799676,0.067135
0.596263,0.158426
0.41151,0.213108
0.235234,0.105357
0.209521,0.337313
0.359,0.109968
0.518148,0.311577
0.418753,0.468262
0.490974,0.236264
0.701177,0.059104
0.230887,0.057349
0.618079,0.605671
0.302068,0.089604
0.277601,0.379915
0.191557,0.137881
0.203808,0.220135
0.625163,0.527123
0.49174,0.169902
0.311111,0.044666
0.743694,0.064147
0.430054,0.480607
0.009608,0.012058
0.747956,0.15887
0.624148,0.375302
0.519853,0.877567
0.532898,0.463947
0.782321,0.193071
0.304779,0.158105
0.513389,0.859324
0.829184,0.065465
0.622807,0.341699
0.196178,0.202221
0.517832,0.783622
0.460972,0.074344
0.555577,0.563332
0.68609,0.356978
0.30736,0.312604
0.397538,0.212969
0.751879,0.1354
0.205754,0.133392
0.555344,0.095531
0.556941,0.562386
0.521879,0.599827
0.311367,0.380216
0.611102,0.501319
0.196456,0.256702
0.643195,0.53058
0.50935,0.654955
0.419449,0.168954
0.367748,0.053158
0.325012,0.132211
0.460658,0.776225
0.76968,0.244944
0.462336,0.348132
0.379881,0.577466
0.246417,0.361822
0.340946,0.150968
0.448484,0.420524
0.334923,0.355301
0.628686,0.508702
0.345064,0.274442
0.434319,0.01624
0.717775,0.224327
0.540843,0.42966
0.545353,0.368014
0.823301,0.323088
0.880743,0.033635
0.29731,0.583804
0.504448,0.557668
0.410495,0.591654
0.572265,0.586541
0.699971,0.501732
0.639279,0.694376
0.631506,0.315223
0.114369,0.040899
0.641668,0.517545
0.677678,0.041117
0.161303,0.059203
0.500957,0.895069
0.338424,0.238584
0.624758,0.134637
0.735263,0.291252
0.524368,0.108534
0.383436,0.043038
0.207781,0.193009
0.346618,0.353595
0.541991,0.135476
0.511365,0.215122
0.201924,0.063464
0.514374,0.831072
0.877039,0.093377
0.371879,0.292776
0.76797,0.117598
0.239458,0.235471
0.264671,0.15916
0.188591,0.304527
0.239606,0.035726
0.39493,0.462068
0.456426,0.470834
0.707211,0.189537
0.782436,0.215662
0.5314,0.501724
0.600418,0.39846
0.559175,0.250333
0.577376,0.383256
0.310939,0.31243
0.229591,0.430023
0.500976,0.237618
0.284,0.042816
0.694607,0.089896
0.316363,0.471907
0.438101,0.495772
0.692949,0.009799
0.180058,0.348106
0.344525,0.376869
0.487877,0.261139
0.441097,0.080776
0.321644,0.081022
0.562042,0.479709
0.440008,0.814232
0.811081,0.250718
0.715671,0.193425
0.566235,0.268132
0.502292,0.993165
0.478166,0.433191
0.398906,0.512923
0.580097,0.477484
0.394166,0.54635
0.329962,0.033466
0.849375,0.071279
0.673161,0.3394
0.576652,0.504611
0.856529,0.095282
0.344227,0.100588
0.660763,0.416321
0.403237,0.671444
0.153272,0.159695
0.309011,0.484863
0.470919,0.046975
0.569742,0.738775
0.609821,0.408636
0.33095,0.652501
0.805655,0.260393
0.642576,0.463466
0.439224,0.397095
0.490256,0.570332
0.670797,0.132837
0.348195,0.362481
0.465202,0.660576
0.604303,0.537436
0.400251,0.024463
0.475649,0.2425
0.304893,0.313102
0.226971,0.388015
0.59138,0.219061
0.65878,0.347658
0.688581,0.397542
0.269075,0.441151
0.714847,0.19901
0.592767,0.089779
0.634548,0.44294
0.579867,0.346201
0.85007,0.264947
0.380387,0.386668
0.56797,0.029425
0.241098,0.472526
0.507769,0.867016
0.521743,0.238046
0.498593,0.55761
0.353365,0.553756
0.637543,0.200791
0.293988,0.289148
0.501876,0.901573
0.566036,0.6661
0.601587,0.129688
0.629208,0.303313
0.741826,0.415989
0.45852,0.851595
0.637137,0.358196
0.506888,0.546672
0.823598,0.162367
0.399054,0.725117
0.535266,0.265775
0.503168,0.115233
0.284431,0.186806
0.441072,0.161934
0.368679,0.570403
0.697925,0.182766
0.122172,0.024789
0.412723,0.427441
0.526914,0.239212
0.540107,0.272894
0.751006,0.380268
0.339504,0.193757
0.662465,0.637248
0.957309,0.067234
0.41537,0.372113
0.476962,0.82047
0.637458,0.378954
0.346245,0.282952
0.336664,0.604691
0.568776,0.551775
0.758088,0.248232
0.575897,0.647069
0.398591,0.251207
0.912157,0.068966
0.621242,0.488873
0.397063,0.643206
0.549109,0.53365
0.517906,0.629858
0.275057,0.197636
